         Year, MaxTemp,    Year,MinTemp
2001,21.8,2001,9.33636363636364
2002,21.8916666666667,2002,9.55
2003,21.3333333333333,2003,10.5333333333333
2004,20.9166666666667,2004,10.3583333333333
2005,21.0833333333333,2005,9.6
2006,20.425,2006,9.8875
2007,21.3333333333333,2007,9.64166666666667
2008,21.15,2008,9.35
2009,21.6833333333333,2009,9.69166666666667
2010,21.2416666666667,2010,9.95833333333333
2011,21.7583333333333,2011,9.81666666666667
2012,22.4888888888889,2012,9.16666666666667
2013,21.65,2013,10.1333333333333
2014,21.5916666666667,2014,9.73333333333333
2015,22.85,2015,9.99
2016,22.5454545454545,2016,10.6090909090909
2017,22.5333333333333,2017,9.55
2018,21.275,2018,9.075
2019,22.4125,2019,8.725
2020,20.8,2020,8.22857142857143
