,,,
1996,21.8416666666667,1996,8.50833333333333
1997,23.3285714285714,1997,8.78571428571429
2004,2.2,2004,0.833333333333333
2005,22.6272727272727,2005,8.86363636363636
2006,21.85,2006,9.1
2007,22.0583333333333,2007,8.96666666666667
2008,22.4583333333333,2008,8.50833333333333
2009,22.775,2009,9.00833333333333
2010,22.0166666666667,2010,9.31666666666667
2011,22.5818181818182,2011,8.30909090909091
2012,24.06,2012,8.475
2013,21.9,2013,8.98333333333333
2014,22.2416666666667,2014,8.775
2015,23.9916666666667,2015,8.95
2016,22.4666666666667,2016,8.74166666666667
2017,22.625,2017,8.55833333333333
2018,21.3636363636364,2018,8.64545454545455
2019,22.675,2019,8.625
2020,22.725,2020,9.83333333333333
