,,
Year,Max,Min
1995,23.0916666666667,10.1833333333333
1996,22.8333333333333,9.58333333333333
1997,23.0666666666667,9.96666666666667
1998,24.1916666666667,9.96666666666667
1999,24.55,10.35
2000,23.425,9.40833333333333
2001,21.8,9.33636363636364
2002,21.8916666666667,9.55
2003,21.3333333333333,10.5333333333333
2004,20.9166666666667,10.3583333333333
2005,21.0833333333333,9.6
2006,20.425,9.8875
2007,21.3333333333333,9.64166666666667
2008,21.15,9.35
2009,21.6833333333333,9.69166666666667
2010,21.2416666666667,9.95833333333333
2011,21.7583333333333,9.81666666666667
2012,22.4888888888889,9.16666666666667
2013,21.65,10.1333333333333
2014,21.5916666666667,9.73333333333333
2015,22.85,9.99
2016,22.5454545454545,10.6090909090909
2017,22.5333333333333,9.55
2018,21.275,9.075
2019,22.4125,8.725
2020,20.8,8.22857142857143
